,Age,PassengerId,Survived,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Name_Len,Dead_female_family,Survive_male_family,IsChild,High_Survival_Ticket,Low_Survival_Ticket,Embarked_C,Embarked_Q,Embarked_S,FamilySize_Alone,FamilySize_Big,FamilySize_Small,Cabin_isNull,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Low_Fare,High_Fare
0,32,1,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
1,57,2,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
2,39,3,1.0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0
3,53,4,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
4,53,5,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
5,39,6,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
6,76,7,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
7,8,8,0.0,1,0,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
8,41,9,1.0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
9,21,10,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
10,10,11,1.0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
11,81,12,1.0,0,1,0,0,2,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
12,29,13,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
13,59,14,0.0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
14,21,15,0.0,0,1,0,0,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
15,77,16,1.0,0,0,0,1,3,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
16,8,17,0.0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
17,45,18,1.0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
18,47,19,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
19,47,20,1.0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
20,53,21,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
21,51,22,1.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
22,23,23,1.0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
23,42,24,1.0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
24,14,25,0.0,0,1,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
25,57,26,1.0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
26,39,27,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
27,28,28,0.0,0,0,1,0,3,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
28,26,29,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
29,39,30,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
30,60,31,0.0,0,0,1,0,2,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
31,66,32,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
32,26,33,1.0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
33,90,34,0.0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
34,42,35,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
35,63,36,0.0,0,0,1,0,3,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
36,39,37,1.0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
37,31,38,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
38,26,39,0.0,0,1,0,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
39,21,40,1.0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
40,60,41,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
41,41,42,0.0,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
42,39,43,0.0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
43,9,44,1.0,0,1,0,0,4,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
44,28,45,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
45,39,46,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
46,39,47,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
47,26,48,1.0,0,1,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
48,39,49,0.0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
49,26,50,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
50,13,51,0.0,1,0,0,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
51,31,52,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
52,71,53,1.0,0,0,0,1,4,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
53,44,54,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
54,89,55,0.0,0,0,1,0,3,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1
55,63,56,1.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
56,31,57,1.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
57,43,58,0.0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
58,11,59,1.0,0,1,0,0,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
59,17,60,0.0,1,0,0,0,4,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
60,32,61,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
61,57,62,1.0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
62,66,63,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
63,10,64,0.0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
64,63,65,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
65,12,66,1.0,1,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
66,44,67,1.0,0,0,0,1,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
67,28,68,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
68,25,69,1.0,0,1,0,0,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0
69,39,70,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
70,48,71,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
71,24,72,0.0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
72,31,73,0.0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
73,39,74,0.0,0,0,1,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
74,48,75,1.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
75,38,76,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0
76,39,77,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
77,39,78,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
78,5,79,1.0,1,0,0,0,3,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
79,45,80,1.0,0,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
80,32,81,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
81,44,82,1.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
82,26,83,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
83,42,84,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
84,25,85,1.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
85,50,86,1.0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
86,24,87,0.0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
87,39,88,0.0,0,0,1,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
88,34,89,1.0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
89,36,90,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
90,44,91,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
91,29,92,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
92,68,93,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
93,39,94,0.0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
94,82,95,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
95,39,96,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
96,94,97,0.0,0,0,1,0,2,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
97,34,98,1.0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1
98,51,99,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
99,51,100,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
100,42,101,0.0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
101,39,102,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
102,31,103,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
103,50,104,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
104,56,105,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
105,42,106,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
106,31,107,1.0,0,1,0,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
107,39,108,1.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
108,57,109,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
109,26,110,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
110,69,111,0.0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
111,22,112,0.0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
112,32,113,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
113,29,114,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
114,25,115,0.0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
115,31,116,0.0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
116,93,117,0.0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
117,44,118,0.0,0,0,1,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
118,36,119,0.0,0,0,1,0,2,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1
119,8,120,0.0,0,1,0,0,4,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
120,31,121,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
121,39,122,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
122,49,123,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
123,49,124,1.0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
124,76,125,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
125,19,126,1.0,1,0,0,0,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
126,39,127,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
127,36,128,1.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
128,26,129,1.0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
129,66,130,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
130,50,131,0.0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
131,29,132,0.0,0,0,1,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
132,69,133,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
133,44,134,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
134,38,135,0.0,0,0,1,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
135,34,136,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
136,28,137,1.0,0,1,0,0,3,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
137,56,138,0.0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
138,24,139,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
139,36,140,0.0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
140,47,141,0.0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
141,32,142,1.0,0,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
142,36,143,1.0,0,0,0,1,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
143,28,144,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
144,26,145,0.0,0,0,1,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
145,28,146,0.0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
146,41,147,1.0,0,0,1,0,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
147,15,148,0.0,0,1,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
148,55,149,0.0,0,0,1,0,4,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
149,63,150,0.0,0,0,1,0,4,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
150,73,151,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
151,32,152,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
152,78,153,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
153,61,154,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
154,39,155,0.0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
155,73,156,0.0,0,0,1,0,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
156,24,157,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
157,45,158,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
158,39,159,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
159,12,160,0.0,1,0,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
160,65,161,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
161,60,162,1.0,0,0,0,1,4,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
162,39,163,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
163,25,164,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
164,7,165,0.0,1,0,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
165,15,166,1.0,1,0,0,0,4,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
166,66,167,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
167,66,168,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
168,63,169,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
169,42,170,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
170,85,171,0.0,0,0,1,0,2,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
171,10,172,0.0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
172,7,173,1.0,0,1,0,0,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
173,31,174,0.0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
174,79,175,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
175,26,176,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
176,12,177,0.0,1,0,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
177,72,178,0.0,0,1,0,0,2,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
178,45,179,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
179,54,180,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
180,26,181,0.0,0,1,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
181,45,182,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
182,15,183,0.0,1,0,0,0,4,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
183,7,184,1.0,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
184,10,185,1.0,0,1,0,0,4,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
185,63,186,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
186,47,187,1.0,0,0,0,1,4,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
187,66,188,1.0,0,0,1,0,4,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
188,60,189,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
189,54,190,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
190,48,191,1.0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
191,28,192,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
192,28,193,1.0,0,1,0,0,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0
193,9,194,1.0,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
194,65,195,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
195,81,196,1.0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
196,39,197,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
197,63,198,0.0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
198,26,199,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
199,36,200,0.0,0,1,0,0,4,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
200,42,201,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
201,39,202,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
202,51,203,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
203,67,204,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
204,26,205,1.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
205,8,206,0.0,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0
206,48,207,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
207,39,208,1.0,0,0,1,0,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
208,24,209,1.0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
209,60,210,1.0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
210,36,211,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
211,53,212,1.0,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
212,32,213,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
213,45,214,0.0,0,0,1,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
